admin2,admin2id,longitude,latitude,village_id,vector_01
"Sapouy",865,-2.0042,11.63708,7,1
"Sapouy",865,-1.426939,11.53861,5,1
"Sapouy",865,-1.894118,11.73539,4,1
"Sebba",866,.4606732,13.51019,158,1
"Sebba",866,.3521973,13.20658,165,1
"Sebba",866,.2693534,13.34729,161,2
"Sebba",866,.295576,13.68399,157,2
"Sebba",866,.5702521,13.04907,163,1
"Sebba",866,.7643612,13.26066,162,2
"Sebba",866,1.023332,13.45551,154,2
"Sebba",866,1.058146,13.35264,164,1
"Sebba",866,.8550707,13.43968,160,1
"Sebba",866,.5496504,13.68239,159,1
"Sebba",866,.6869762,13.38505,155,1
"Sebba",866,.4276838,13.73886,153,1
"Sebba",866,.3180971,13.47567,156,2
"Dafra",867,-4.129694,11.03481,540,2
"Dafra",867,-4.144199,11.22566,539,2
"Do",868,-4.554628,10.96706,425,2
"Do",868,-4.702739,11.10199,424,2
"Do",868,-4.593885,11.24396,431,1
"Do",868,-4.246068,10.86398,427,1
"Do",868,-4.689475,10.80544,428,1
"Do",868,-4.792939,10.94607,429,2
"Do",868,-4.514136,11.1838,426,1
"Bogodogo",869,-1.400167,12.37238,64,2
"Bogodogo",869,-1.435247,12.24274,65,2
"Bogodogo",869,-1.318114,12.2916,66,1
"Seguenega",870,-1.921491,13.4785,135,1
"Seguenega",870,-2.030778,13.46755,134,2
"Seguenega",870,-2.103568,13.07812,136,2
"Seguenega",870,-1.957029,13.30372,137,1
"Sindou",871,-5.48316,10.46414,538,1
"Sindou",871,-5.27725,10.61556,533,2
"Sindou",871,-5.390917,10.7188,534,2
"Sindou",871,-5.435739,10.62808,537,1
"Sindou",871,-5.200019,10.32219,535,1
"Solenzo",872,-3.799723,12.45488,376,2
"Solenzo",872,-4.264095,12.63165,369,1
"Solenzo",872,-4.394818,11.97975,367,1
"Solenzo",872,-4.03738,12.19782,370,1
"Solenzo",872,-4.27156,11.85128,377,2
"Solenzo",872,-4.368583,12.56765,372,2
"Solenzo",872,-4.446562,12.63328,373,1
"Solenzo",872,-4.352947,12.33456,374,1
"Solenzo",872,-4.505746,12.23667,371,1
"Solenzo",872,-3.970092,11.99461,368,2
"Solenzo",872,-4.11048,12.07253,375,2
"Tenkodogo",873,-.1186211,11.71132,99,1
"Tenkodogo",873,-.4277509,11.74501,100,2
"Tenkodogo",873,-.6070107,11.65634,101,2
"Titao",874,-1.843819,13.6541,270,2
"Titao",874,-2.114471,13.83829,268,1
"Titao",874,-1.927649,13.9262,271,1
"Titao",874,-2.026716,13.56704,272,2
"Titao",874,-2.221544,14.22473,269,2
"Toma",875,-3.053142,12.55464,383,1
"Toma",875,-2.91715,12.61987,380,1
"Toma",875,-2.817574,12.39923,385,1
"Toma",875,-3.028075,12.89612,379,2
"Toma",875,-2.990338,12.81382,381,1
"Toma",875,-2.649572,12.74104,384,1
"Toma",875,-3.108746,12.68387,386,1
"Tougan",876,-2.852788,13.21987,330,2
"Tougan",876,-2.923647,13.30396,339,2
"Tougan",876,-2.865794,13.5052,333,2
"Tougan",876,-2.947467,12.98209,337,1
"Tougan",876,-2.856566,13.11691,335,1
"Tougan",876,-3.258885,13.49753,332,1
"Tougan",876,-2.749327,12.99503,336,2
"Tougan",876,-3.325821,13.10232,338,2
"Tougan",876,-3.202512,13.32097,340,1
"Tougan",876,-3.171766,13.60218,341,2
"Tougan",876,-3.437793,13.05791,334,1
"Yako",877,-2.267612,12.7608,132,2
"Yako",877,-2.378599,12.79523,129,1
"Yako",877,-2.011653,12.98346,127,1
"Yako",877,-2.275147,12.86563,133,2
"Yako",877,-1.949172,12.85858,130,1
"Yako",877,-1.776172,13.06992,126,1
"Yako",877,-2.366078,12.93365,128,1
"Yako",877,-1.673608,13.00469,131,1
"Zabre",878,-.5462,11.00779,512,1
"Zabre",878,-.6649789,11.04255,511,1
"Ziniare",879,-1.521497,12.77212,73,1
"Ziniare",879,-1.665482,12.92657,75,2
"Ziniare",879,-1.038037,12.53756,72,1
"Ziniare",879,-1.176312,12.61726,71,1
"Ziniare",879,-1.468597,12.63218,70,2
"Ziniare",879,-1.294485,12.64273,74,2
"Zorgho",880,-.9941624,12.05647,106,1
"Zorgho",880,-.7348043,12.43401,109,1
"Zorgho",880,-.5443969,12.43606,108,2
"Zorgho",880,-.8539299,12.2005,112,1
"Zorgho",880,-.8227392,12.38685,107,1
"Zorgho",880,-.6861199,11.89778,110,2
"Zorgho",880,-.8225279,11.98589,113,1
"Zorgho",880,-.4777181,12.08492,111,2
"Garango",1152,-.5920525,11.86135,96,2
"Garango",1152,-.6762167,11.78072,95,2
"Garango",1152,-.4976583,11.92212,97,2
"Pouytenga",1154,-.2153273,12.21179,88,1
"Pouytenga",1154,-.2962016,12.30926,90,1
"Pouytenga",1154,-.4551049,12.25967,89,2
"Manni",1155,-.0053599,13.24658,202,1
"Manni",1155,.1106713,13.24913,203,1
"Manni",1155,-.2269789,13.13293,200,1
"Manni",1155,-.1556727,13.52612,201,1
"Baskuy",1170,-1.476429,12.34817,87,1
"Bittou",1171,-.08877,11.29665,509,1
"Bittou",1171,-.29928,11.22289,507,1
"Bittou",1171,-.1379203,11.13935,508,1
"Karangasso Vigue",1172,-4.044093,10.83231,398,1
"Karangasso Vigue",1172,-3.855108,11.12581,399,1
"Karangasso Vigue",1172,-3.961099,10.76318,397,2
"Karangasso Vigue",1172,-3.791765,10.86795,400,1
"Lena",1173,-4.122114,11.46671,403,2
"Lena",1173,-4.046721,11.73443,402,2
"Lena",1173,-4.13226,11.67005,404,1
"Lena",1173,-4.042335,11.62815,401,2
"Mangodara",1174,-3.834369,10.68116,482,1
"Mangodara",1174,-4.346524,9.725343,473,1
"Mangodara",1174,-4.101553,10.75101,471,1
"Mangodara",1174,-3.77892,10.81841,475,1
"Mangodara",1174,-4.221596,10.064,474,1
"Mangodara",1174,-4.273909,10.37392,480,1
"Mangodara",1174,-4.224494,9.80657,478,1
"Mangodara",1174,-4.452017,10.3624,477,1
"Mangodara",1174,-4.417089,10.56901,468,1
"Mangodara",1174,-3.788383,10.23088,469,1
"Mangodara",1174,-4.604038,10.00491,472,1
"Mangodara",1174,-3.948929,10.1698,479,1
"Mangodara",1174,-3.999933,9.850444,483,1
"Mangodara",1174,-4.535291,10.08329,470,1
"Mangodara",1174,-4.429584,10.67424,481,1
"Mangodara",1174,-3.918833,10.40235,467,1
